"UI92"	"UI93"	"UI96"	"N92"	"N93"	"WT96"	"WT91"	"WT94"	"N95"
"ENSG00000227232.5"	127.270726442199	121.63628162939	134.379525518647	109.072534977353	110.346213032829	80.156277389901	82.6363276685735	81.3732714342679	103.676190610071
"ENSG00000279457.4"	203.371421515365	167.097576052634	182.034711743073	170.831016023852	203.452067864919	172.873111732204	176.122247856917	151.318410321775	171.975747829029
"ENSG00000237094.12"	12.8043026260203	1.99951621925168	6.47864176219117	9.44820535197541	6.28949344400705	8.35604513087844	6.73038659669973	14.8768918987948	6.38627040189506
"ENSG00000230021.10"	23.8165936880628	21.6964928987303	36.3827912704277	20.5654906275807	32.7672929423156	21.1457881146494	26.344942092939	9.33170878575679	16.8114978104004
"ENSG00000225972.1"	17.3890612534784	11.1919212436194	18.6037376387359	16.3117737072014	13.2944470068042	14.7571977009721	8.91845097587301	9.89305858088321	8.16987823202888
"ENSG00000225630.1"	580.663089976727	384.129524129659	644.814065358022	417.12656296528	353.058202697554	299.359376698503	278.036668726263	373.249726040311	256.079605225366
"ENSG00000237973.1"	357.519621040492	255.045707747141	344.444090967061	349.868897592072	311.533966482831	264.900474533632	170.694826361619	185.405567066672	238.634314078888
"ENSG00000229344.1"	15.1513661596475	3.76489821862111	2.19842653072856	0.0773680812288742	3.73669591260842	3.34912995925307	0.52252268679554	1.25178231406972	0.871313082174284
"ENSG00000248527.1"	7032.15781793702	4605.11788792186	7343.26389189431	5615.38280235434	4687.92620411064	4048.57879914521	2860.80509057156	3744.1016198283	3290.3054459789
"ENSG00000198744.5"	13.507006693607	7.07418688454267	13.544490080789	11.1986443850171	15.3882779151547	9.83727491088929	12.762054663285	10.7463833905097	10.4103190408902
"ENSG00000228327.3"	263.526907385816	232.830172395342	246.608168290811	159.42233811692	175.234440879547	122.577630648552	120.412204015594	111.422398231831	154.906459275804
"ENSG00000237491.10"	43.7022903506855	29.641845770513	57.7371320250062	6.66532489515209	10.1826171870061	-4.86935674211102	3.34771471104441	2.58394719306799	-3.13680381510115
"ENSG00000230092.7"	18.0653043075128	9.51810289633061	13.9100041976358	8.88018165903344	6.63608766501887	21.2610216881508	9.24226104458234	7.37613966077855	-1.15735911388068
"ENSG00000228794.10"	211.666593910782	137.21886458382	174.20489482009	150.533688281528	173.0064639714	121.992935708234	122.493773891103	124.885216267573	139.160777387628
"ENSG00000225880.5"	47.4396521271754	49.3911470231855	43.5094110618244	45.9866878954598	55.1619111782494	44.2711230107535	41.8493157645107	28.7379120738945	48.9603200274617
"ENSG00000188976.11"	762.535787747581	642.731894470891	679.407660014006	733.82474067867	731.088041325161	715.134601966634	556.392881258051	507.777049992019	618.56572643488
"ENSG00000187961.14"	161.808211167722	175.39762384839	179.065948306551	158.295205783483	173.257025971724	170.281145940346	177.206468390053	152.07420833014	161.098073750717
"ENSG00000187583.11"	85.4037980932971	62.7280087470195	57.4331071812907	64.9416670882563	72.3741871942822	60.6140850601695	44.6144394851494	39.3059218928092	60.9895091169367
"ENSG00000187642.9"	5.32348886024711	2.18206512036765	6.81604521626609	18.7965257709799	22.6602921631262	17.5701340691852	20.0051565095048	16.7247566340863	18.4101038700487
"ENSG00000272512.1"	-20.5613569686936	-2.87654670954155	-56.8926912619968	153.562528407702	199.739789581855	288.757505683131	296.964683046093	249.840775319897	196.200429238108
"ENSG00000188290.11"	219.99683802575	231.994965395492	225.868028028001	1083.67324860853	1069.22735911415	710.975385558925	648.795785657212	618.859188882733	1042.97176473839
"ENSG00000187608.10"	135.87258180854	142.773447517212	109.153566002607	196.577018888643	201.063054778216	170.013802263478	165.839956192306	165.221978029916	214.265705159926
"ENSG00000188157.15"	14957.9986582103	12535.5421408963	13170.7491497926	9037.83218094028	9213.75859544303	9581.06872364375	7665.34172131552	7331.96901327115	7661.77935759598
"ENSG00000217801.10"	189.387175823009	208.158775035473	201.207855012629	546.867243485619	425.355909358939	305.044825440047	191.82520060011	266.25698062062	458.217540501626
"ENSG00000273443.1"	56.0471312800471	44.8611917801199	30.6080481430204	29.6470888594474	45.1986632054155	34.6228785257687	35.453324457818	27.3954644571964	42.1685163740881
